STORE_NUM,TRANSDATE,INVOICE,CAS_CODE,AMT_TENDER,CHANGE,NAME,REF_NO,DATE,TIME,TAG,PAYCODE,TRN_CODE,REF_CODE,ORDERSLIP,REC_NO,CUSINFO1,CUSINFO2,CUSINFO3,TIN_TAG,TRANSNO,POS,BRANCH
1,2025-10-08 00:00:00,00013555,2025,1000.000,677.140,,,2025-10-08 00:00:00,10:19,S,00001,S,,20,1,,,,1,00013455,1,AYALA-FRN
1,2025-10-08 00:00:00,00013556,2025,1343.000,0.000,,tnxo-v8iw,2025-10-08 00:00:00,10:26,S,1,S,,fp-1609,1,,,,0,00013456,1,AYALA-FRN
1,2025-10-08 00:00:00,00013557,2025,500.000,220.000,,,2025-10-08 00:00:00,10:28,S,00001,S,,39,1,,,,1,00013457,1,AYALA-FRN
1,2025-10-08 00:00:00,00013558,2025,1000.000,228.570,,,2025-10-08 00:00:00,10:32,S,00001,S,,20,1,,,,1,00013458,1,AYALA-FRN
1,2025-10-08 00:00:00,00013559,2025,792.000,0.000,,tnxo-jt80,2025-10-08 00:00:00,10:35,S,1,S,,fp-1610,1,,,,0,00013459,1,AYALA-FRN
1,2025-10-08 00:00:00,00013560,2025,1000.000,563.580,,,2025-10-08 00:00:00,10:54,S,00001,S,,39,1,,,,1,00013460,1,AYALA-FRN
1,2025-10-08 00:00:00,00013561,2025,563.580,121.580,,,2025-10-08 00:00:00,10:54,S,00001,S,,add39,1,,,,0,00013461,1,AYALA-FRN
1,2025-10-08 00:00:00,00013562,2025,1044.000,0.000,,528103384007,2025-10-08 00:00:00,10:57,S,2,S,,23,1,,,,0,00013462,1,AYALA-FRN
1,2025-10-08 00:00:00,00013563,2025,1000.000,554.000,,,2025-10-08 00:00:00,10:58,S,00001,S,,24,1,,,,0,00013463,1,AYALA-FRN
1,2025-10-08 00:00:00,00013564,2025,1000.000,893.570,,,2025-10-08 00:00:00,10:59,S,00001,S,,add24,1,,,,1,00013464,1,AYALA-FRN
1,2025-10-08 00:00:00,00013565,2025,1000.000,588.000,,,2025-10-08 00:00:00,11:04,S,00001,S,,20,1,,,,0,00013465,1,AYALA-FRN
1,2025-10-08 00:00:00,00013566,2025,1000.000,220.000,,,2025-10-08 00:00:00,11:06,S,00001,S,,19,1,,,,0,00013466,1,AYALA-FRN
1,2025-10-08 00:00:00,00013567,2025,2000.000,704.000,,,2025-10-08 00:00:00,11:12,S,00001,S,,12,1,,,,0,00013467,1,AYALA-FRN
1,2025-10-08 00:00:00,00013568,2025,1028.000,0.000,,,2025-10-08 00:00:00,11:15,S,00001,S,,27,1,,,,0,00013468,1,AYALA-FRN
1,2025-10-08 00:00:00,00013569,2025,500.000,323.000,,,2025-10-08 00:00:00,11:16,S,00001,S,,ac,1,,,,0,00013469,1,AYALA-FRN
1,2025-10-08 00:00:00,00013570,2025,497.000,0.000,,tnxo-r4a0,2025-10-08 00:00:00,11:19,S,1,S,,fp-1611,1,,,,0,00013470,1,AYALA-FRN
1,2025-10-08 00:00:00,00013571,2025,1000.000,304.000,,,2025-10-08 00:00:00,11:21,S,00001,S,,14,1,,,,0,00013471,1,AYALA-FRN
1,2025-10-08 00:00:00,00013572,2025,1500.000,348.000,,,2025-10-08 00:00:00,11:26,S,00001,S,,25,1,,,,0,00013472,1,AYALA-FRN
1,2025-10-08 00:00:00,00013573,2025,1000.000,424.000,,,2025-10-08 00:00:00,11:31,S,00001,S,,27,1,,,,0,00013473,1,AYALA-FRN
1,2025-10-08 00:00:00,00013574,2025,457.000,0.000,,528103515069,2025-10-08 00:00:00,11:33,S,2,S,,13,1,,,,0,00013474,1,AYALA-FRN
1,2025-10-08 00:00:00,00013575,2025,400.000,13.000,,,2025-10-08 00:00:00,11:39,S,00001,S,,22,1,,,,0,00013475,1,AYALA-FRN
1,2025-10-08 00:00:00,00013576,2025,566.000,0.000,,tnxo-u9yp,2025-10-08 00:00:00,11:41,S,1,S,,fp-1612,1,,,,0,00013476,1,AYALA-FRN
1,2025-10-08 00:00:00,00013577,2025,1000.000,688.580,,,2025-10-08 00:00:00,11:54,S,00001,S,,22,1,,,,1,00013477,1,AYALA-FRN
1,2025-10-08 00:00:00,00013578,2025,688.580,262.580,,,2025-10-08 00:00:00,11:55,S,00001,S,,add22,1,,,,0,00013478,1,AYALA-FRN
1,2025-10-08 00:00:00,00013579,2025,2000.000,788.000,,,2025-10-08 00:00:00,11:57,S,00001,S,,14,1,,,,0,00013479,1,AYALA-FRN
1,2025-10-08 00:00:00,00013580,2025,350.000,18.000,,,2025-10-08 00:00:00,11:58,S,00001,S,,29,1,,,,0,00013480,1,AYALA-FRN
1,2025-10-08 00:00:00,00013581,2025,99.000,0.000,,,2025-10-08 00:00:00,11:59,R,00001,R,,refund,1,,,,0,,1,AYALA-FRN
1,2025-10-08 00:00:00,00013582,2025,1000.000,583.000,,,2025-10-08 00:00:00,12:02,S,00001,S,,26,1,,,,0,00013481,1,AYALA-FRN
1,2025-10-08 00:00:00,00013583,2025,1000.000,320.000,,,2025-10-08 00:00:00,12:03,S,00001,S,,27,1,,,,0,00013482,1,AYALA-FRN
1,2025-10-08 00:00:00,00013584,2025,1000.000,10.710,,,2025-10-08 00:00:00,12:11,S,00001,S,,20,1,,,,1,00013483,1,AYALA-FRN
1,2025-10-08 00:00:00,00013585,2025,120.000,11.000,,,2025-10-08 00:00:00,12:18,S,00001,S,,39,1,,,,0,00013484,1,AYALA-FRN
1,2025-10-08 00:00:00,00013586,2025,200.000,22.860,,,2025-10-08 00:00:00,12:19,S,00001,S,,add39,1,,,,1,00013485,1,AYALA-FRN
1,2025-10-08 00:00:00,00013587,2025,212.000,0.580,,,2025-10-08 00:00:00,12:21,S,00001,S,,24,1,,,,1,00013486,1,AYALA-FRN
1,2025-10-08 00:00:00,00013588,2025,300.000,72.860,,,2025-10-08 00:00:00,12:30,S,00001,S,,13,1,,,,1,00013487,1,AYALA-FRN
1,2025-10-08 00:00:00,00013589,2025,1000.000,578.000,,,2025-10-08 00:00:00,12:36,S,00001,S,,39,1,,,,0,00013488,1,AYALA-FRN
1,2025-10-08 00:00:00,00013590,2025,1000.000,448.000,,,2025-10-08 00:00:00,12:38,S,00001,S,,24,1,,,,0,00013489,1,AYALA-FRN
1,2025-10-08 00:00:00,00013591,2025,1000.000,692.150,,,2025-10-08 00:00:00,12:42,S,00001,S,,27,1,,,,1,00013490,1,AYALA-FRN
1,2025-10-08 00:00:00,00013592,2025,1121.000,0.000,,,2025-10-08 00:00:00,12:46,S,00001,S,,14,1,,,,0,00013491,1,AYALA-FRN
1,2025-10-08 00:00:00,00013593,2025,1000.000,722.000,,,2025-10-08 00:00:00,12:47,S,00001,S,,27,1,,,,0,00013492,1,AYALA-FRN
1,2025-10-08 00:00:00,00013594,2025,1000.000,669.290,,,2025-10-08 00:00:00,12:53,S,00001,S,,22,1,,,,1,00013493,1,AYALA-FRN
1,2025-10-08 00:00:00,00013595,2025,500.000,62.000,,,2025-10-08 00:00:00,12:57,S,00001,S,,27,1,,,,0,00013494,1,AYALA-FRN
1,2025-10-08 00:00:00,00013596,2025,771.000,0.290,,,2025-10-08 00:00:00,13:00,S,00001,S,,24,1,,,,1,00013495,1,AYALA-FRN
1,2025-10-08 00:00:00,00013597,2025,500.000,222.000,,,2025-10-08 00:00:00,13:07,S,00001,S,,39,1,,,,0,00013496,1,AYALA-FRN
1,2025-10-08 00:00:00,00013598,2025,1000.000,386.000,,,2025-10-08 00:00:00,13:08,S,00001,S,,22,1,,,,0,00013497,1,AYALA-FRN
1,2025-10-08 00:00:00,00013599,2025,1000.000,400.000,,,2025-10-08 00:00:00,13:17,S,00001,S,,20,1,,,,1,00013498,1,AYALA-FRN
