STORE_NUM,TRANSDATE,INVOICE,CAS_CODE,AMT_TENDER,CHANGE,NAME,REF_NO,DATE,TIME,TAG,PAYCODE,TRN_CODE,REF_CODE,ORDERSLIP,REC_NO,CUSINFO1,CUSINFO2,CUSINFO3,TIN_TAG,TRANSNO,POS,BRANCH
1,2026-02-09 00:00:00,00083873,2172,500.000,304.000,,,2026-02-09 00:00:00,10:00,S,00001,S,,,1,,,,0,00083382,1,B-SMS
1,2026-02-09 00:00:00,00083874,2172,500.000,262.000,,,2026-02-09 00:00:00,10:06,S,00001,S,,46,1,,,,0,00083383,1,B-SMS
1,2026-02-09 00:00:00,00083875,2172,333.000,0.000,,bb2ee3dbeee,2026-02-09 00:00:00,10:10,S,21,S,,26,1,,,,0,00083384,1,B-SMS
1,2026-02-09 00:00:00,00083876,2172,1500.000,206.000,,,2026-02-09 00:00:00,10:39,S,00001,S,,26,1,,,,0,00083385,1,B-SMS
1,2026-02-09 00:00:00,00083877,2172,600.000,66.000,,,2026-02-09 00:00:00,10:47,S,00001,S,,86,1,,,,0,00083386,1,B-SMS
1,2026-02-09 00:00:00,00083878,2172,350.710,0.000,,,2026-02-09 00:00:00,11:10,S,00001,S,,89,1,,,,1,00083387,1,B-SMS
1,2026-02-09 00:00:00,00083879,2172,77.000,0.000,,,2026-02-09 00:00:00,11:11,S,00001,S,,ad89,4,,,,0,00083388,1,B-SMS
1,2026-02-09 00:00:00,00083879,2172,100.000,0.000,,00000924,2026-02-09 00:00:00,11:11,S,3,S,,ad89,1,,,,0,00083388,1,B-SMS
1,2026-02-09 00:00:00,00083879,2172,100.000,0.000,,00000922,2026-02-09 00:00:00,11:11,S,3,S,,ad89,2,,,,0,00083388,1,B-SMS
1,2026-02-09 00:00:00,00083879,2172,100.000,0.000,,00000923,2026-02-09 00:00:00,11:11,S,3,S,,ad89,3,,,,0,00083388,1,B-SMS
1,2026-02-09 00:00:00,00083880,2172,300.000,73.570,,,2026-02-09 00:00:00,11:45,S,00001,S,,84,1,,,,1,00083389,1,B-SMS
1,2026-02-09 00:00:00,00083881,2172,1000.000,161.000,,,2026-02-09 00:00:00,11:47,S,00001,S,,85,1,,,,0,00083390,1,B-SMS
1,2026-02-09 00:00:00,00083882,2172,1000.000,703.000,,,2026-02-09 00:00:00,11:59,S,00001,S,,79,1,,,,0,00083391,1,B-SMS
1,2026-02-09 00:00:00,00083883,2172,1001.000,400.000,,,2026-02-09 00:00:00,12:01,S,00001,S,,20,1,,,,0,00083392,1,B-SMS
1,2026-02-09 00:00:00,00083884,2172,728.570,0.000,,,2026-02-09 00:00:00,12:08,S,00001,S,,83,1,,,,1,00083393,1,B-SMS
1,2026-02-09 00:00:00,00083885,2172,447.000,0.000,,,2026-02-09 00:00:00,12:08,S,00001,S,,ad83,1,,,,0,00083394,1,B-SMS
1,2026-02-09 00:00:00,00083886,2172,1000.000,321.000,,,2026-02-09 00:00:00,12:13,S,00001,S,,79,1,,,,0,00083395,1,B-SMS
1,2026-02-09 00:00:00,00083887,2172,1100.000,77.000,,,2026-02-09 00:00:00,12:17,S,00001,S,,28,1,,,,0,00083396,1,B-SMS
1,2026-02-09 00:00:00,00083888,2172,208.000,0.000,,604004366501,2026-02-09 00:00:00,12:25,S,21,S,,20,1,,,,0,00083397,1,B-SMS
1,2026-02-09 00:00:00,00083889,2172,12.860,0.000,,,2026-02-09 00:00:00,12:36,S,00001,S,,20,3,,,,1,00083398,1,B-SMS
1,2026-02-09 00:00:00,00083889,2172,100.000,0.000,504950,bearer,2026-02-09 00:00:00,12:36,S,6,S,,20,1,,,,1,00083398,1,B-SMS
1,2026-02-09 00:00:00,00083889,2172,100.000,0.000,,504959,2026-02-09 00:00:00,12:36,S,6,S,,20,2,,,,1,00083398,1,B-SMS
1,2026-02-09 00:00:00,00083890,2172,397.140,0.000,,604004419443,2026-02-09 00:00:00,12:38,S,21,S,,53,1,,,,1,00083399,1,B-SMS
1,2026-02-09 00:00:00,00083891,2172,5403.000,0.000,,,2026-02-09 00:00:00,12:40,S,00001,S,,deped,1,,,,0,00083400,1,B-SMS
1,2026-02-09 00:00:00,00083892,2172,378.000,0.000,,,2026-02-09 00:00:00,12:44,S,00001,S,,add depe,1,,,,0,00083401,1,B-SMS
1,2026-02-09 00:00:00,00083893,2172,685.000,0.000,,,2026-02-09 00:00:00,12:56,S,00001,S,,deped,1,,,,0,00083402,1,B-SMS
1,2026-02-09 00:00:00,00083894,2172,273.000,0.000,,604005520773,2026-02-09 00:00:00,13:05,S,21,S,,81,1,,,,0,00083403,1,B-SMS
1,2026-02-09 00:00:00,00083895,2172,0.010,0.000,free gravy,lsm,2026-02-09 00:00:00,13:06,S,8,S,,,1,,,,0,00083404,1,B-SMS
1,2026-02-09 00:00:00,00083896,2172,1000.000,115.000,,,2026-02-09 00:00:00,13:11,S,00001,S,,28,1,,,,0,00083405,1,B-SMS
1,2026-02-09 00:00:00,00083897,2172,198.570,0.000,,,2026-02-09 00:00:00,13:26,S,00001,S,,83,1,,,,1,00083406,1,B-SMS
1,2026-02-09 00:00:00,00083898,2172,119.000,0.000,,,2026-02-09 00:00:00,13:27,S,00001,S,,ad83,1,,,,0,00083407,1,B-SMS
1,2026-02-09 00:00:00,00083899,2172,100.000,1.000,,00000911,2026-02-09 00:00:00,13:31,S,3,S,,49,1,,,,0,00083408,1,B-SMS
1,2026-02-09 00:00:00,00083900,2172,100.000,71.000,,,2026-02-09 00:00:00,13:33,S,00001,S,,julie,1,,,,0,00083409,1,B-SMS
