STORE_NUM,TRANSDATE,INVOICE,CAS_CODE,AMT_TENDER,CHANGE,NAME,REF_NO,DATE,TIME,TAG,PAYCODE,TRN_CODE,REF_CODE,ORDERSLIP,REC_NO,CUSINFO1,CUSINFO2,CUSINFO3,TIN_TAG,TRANSNO,POS,BRANCH
1,2026-02-09 00:00:00,00149114,2341,0.010,0.000,,charge to lsm,2026-02-09 00:00:00,14:23,S,4,S,,okay na,1,,,,0,00147906,1,CAMALIG
1,2026-02-09 00:00:00,00149115,2341,1000.000,706.000,,,2026-02-09 00:00:00,14:26,S,00001,S,,08,1,,,,0,00147907,1,CAMALIG
1,2026-02-09 00:00:00,00149116,2341,255.720,0.000,,604006859953,2026-02-09 00:00:00,14:43,S,2,S,,09,1,,,,1,00147908,1,CAMALIG
1,2026-02-09 00:00:00,00149117,2341,1000.000,147.000,,,2026-02-09 00:00:00,14:46,S,00001,S,,14,1,,,,0,00147909,1,CAMALIG
1,2026-02-09 00:00:00,00149118,2341,300.000,12.000,,,2026-02-09 00:00:00,14:49,S,00001,S,,15,1,,,,0,00147910,1,CAMALIG
1,2026-02-09 00:00:00,00149119,2341,1500.000,129.000,,,2026-02-09 00:00:00,14:57,S,00001,S,,16,1,,,,0,00147911,1,CAMALIG
1,2026-02-09 00:00:00,00149120,2341,1000.000,249.000,,,2026-02-09 00:00:00,14:59,S,00001,S,,17,1,,,,0,00147912,1,CAMALIG
1,2026-02-09 00:00:00,00149121,2341,1000.000,755.720,,,2026-02-09 00:00:00,15:02,S,00001,S,,20,1,,,,1,00147913,1,CAMALIG
1,2026-02-09 00:00:00,00149122,2341,755.720,611.720,,,2026-02-09 00:00:00,15:02,S,00001,S,,ad20,1,,,,0,00147914,1,CAMALIG
1,2026-02-09 00:00:00,00149123,2341,100.000,1.000,,,2026-02-09 00:00:00,15:06,S,00001,S,,ad16,1,,,,0,00147915,1,CAMALIG
1,2026-02-09 00:00:00,00149124,2341,925.000,0.000,,604007040662,2026-02-09 00:00:00,15:35,S,2,S,,72,1,,,,0,00147916,1,CAMALIG
1,2026-02-09 00:00:00,00149125,2341,1000.000,8.000,,,2026-02-09 00:00:00,15:42,S,00001,S,,74,1,,,,0,00147917,1,CAMALIG
1,2026-02-09 00:00:00,00149126,2341,100.000,70.000,,,2026-02-09 00:00:00,15:50,S,00001,S,,okay,1,,,,0,00147918,1,CAMALIG
1,2026-02-09 00:00:00,00149127,2341,610.000,0.000,,604008158566,2026-02-09 00:00:00,16:07,S,2,S,,54,1,,,,0,00147919,1,CAMALIG
1,2026-02-09 00:00:00,00149128,2341,298.000,0.000,,604008163204,2026-02-09 00:00:00,16:08,S,2,S,,56,1,,,,0,00147920,1,CAMALIG
1,2026-02-09 00:00:00,00149129,2341,26.000,0.000,,,2026-02-09 00:00:00,16:25,S,00001,S,,100,1,,,,0,00147921,1,CAMALIG
