STORE_NUM,TRANSDATE,INVOICE,CAS_CODE,AMT_TENDER,CHANGE,NAME,REF_NO,DATE,TIME,TAG,PAYCODE,TRN_CODE,REF_CODE,ORDERSLIP,REC_NO,CUSINFO1,CUSINFO2,CUSINFO3,TIN_TAG,TRANSNO,POS,BRANCH
1,2026-02-09 00:00:00,00084707,2414,1000.000,365.000,,,2026-02-09 00:00:00,01:05,S,00001,S,,24shayne,1,,,,0,00084494,1,MAGS
1,2026-02-09 00:00:00,00084708,2414,1000.000,574.290,,,2026-02-09 00:00:00,01:06,S,00001,S,,39,1,,,,1,00084495,1,MAGS
1,2026-02-09 00:00:00,00084709,2414,1000.000,242.000,,,2026-02-09 00:00:00,01:09,S,00001,S,,38,1,,,,0,00084496,1,MAGS
1,2026-02-09 00:00:00,00084710,2414,1000.000,881.000,,,2026-02-09 00:00:00,01:14,S,00001,S,,19,1,,,,0,00084497,1,MAGS
1,2026-02-09 00:00:00,00084711,2414,337.140,0.000,,6093913118698,2026-02-09 00:00:00,01:19,S,15,S,,34ramil,1,,,,1,00084498,1,MAGS
1,2026-02-09 00:00:00,00084712,2414,144.000,0.000,,603913122293,2026-02-09 00:00:00,01:20,S,15,S,,ad34,1,,,,0,00084499,1,MAGS
1,2026-02-09 00:00:00,00084713,2414,298.000,0.000,,ao2x,2026-02-09 00:00:00,01:21,S,11,S,,fp1122,1,,,,0,00084500,1,MAGS
1,2026-02-09 00:00:00,00084714,2414,2000.000,577.000,,,2026-02-09 00:00:00,01:23,S,00001,S,,27-antho,1,,,,0,00084501,1,MAGS
1,2026-02-09 00:00:00,00084715,2414,308.000,0.000,,jok9,2026-02-09 00:00:00,01:23,S,11,S,,fp1123,1,,,,0,00084502,1,MAGS
1,2026-02-09 00:00:00,00084716,2414,200.000,26.000,,,2026-02-09 00:00:00,01:25,S,00001,S,,ad34,1,,,,0,00084503,1,MAGS
1,2026-02-09 00:00:00,00084717,2414,783.000,0.000,,pz3e,2026-02-09 00:00:00,01:27,S,11,S,,1124,1,,,,0,00084504,1,MAGS
1,2026-02-09 00:00:00,00084718,2414,527.000,0.000,,5kov,2026-02-09 00:00:00,01:28,S,11,S,,1125,1,,,,0,00084505,1,MAGS
1,2026-02-09 00:00:00,00084719,2414,928.570,0.000,,603913174221,2026-02-09 00:00:00,01:35,S,15,S,,28claris,1,,,,1,00084506,1,MAGS
1,2026-02-09 00:00:00,00084720,2414,477.000,0.000,,603913178610,2026-02-09 00:00:00,01:36,S,15,S,,ad28,1,,,,0,00084507,1,MAGS
1,2026-02-09 00:00:00,00084721,2414,333.000,0.000,,2536599d0b5,2026-02-09 00:00:00,01:37,S,15,S,,07,1,,,,0,00084508,1,MAGS
1,2026-02-09 00:00:00,00084722,2414,169.000,0.000,,bnqc,2026-02-09 00:00:00,01:38,S,11,S,,7279,1,,,,0,00084509,1,MAGS
1,2026-02-09 00:00:00,00084723,2414,234.000,0.000,,xeps,2026-02-09 00:00:00,01:38,S,11,S,,1126,1,,,,0,00084510,1,MAGS
1,2026-02-09 00:00:00,00084724,2414,1000.000,357.000,,,2026-02-09 00:00:00,01:39,S,00001,S,,30mark,1,,,,0,00084511,1,MAGS
1,2026-02-09 00:00:00,00084725,2414,1000.000,663.000,,,2026-02-09 00:00:00,01:41,S,00001,S,,23yobert,1,,,,0,00084512,1,MAGS
1,2026-02-09 00:00:00,00084726,2414,150.000,31.000,,,2026-02-09 00:00:00,01:42,S,00001,S,,36bing,1,,,,0,00084513,1,MAGS
1,2026-02-09 00:00:00,00084727,2414,144.000,0.000,,603913203855,2026-02-09 00:00:00,01:44,S,15,S,,26jd,1,,,,0,00084514,1,MAGS
1,2026-02-09 00:00:00,00084728,2414,686.000,0.000,,drz8,2026-02-09 00:00:00,01:46,S,11,S,,fp1127,1,,,,0,00084515,1,MAGS
1,2026-02-09 00:00:00,00084729,2414,567.000,0.000,,4sa5,2026-02-09 00:00:00,01:48,S,11,S,,fp1128,1,,,,0,00084516,1,MAGS
1,2026-02-09 00:00:00,00084730,2414,535.000,0.000,,ldsx,2026-02-09 00:00:00,01:50,S,11,S,,fp1129,1,,,,0,00084517,1,MAGS
1,2026-02-09 00:00:00,00084731,2414,413.000,0.000,,v2ks,2026-02-09 00:00:00,01:51,S,11,S,,fp1130,1,,,,0,00084518,1,MAGS
1,2026-02-09 00:00:00,00084732,2414,841.000,0.000,,olib,2026-02-09 00:00:00,01:52,S,11,S,,fp7280,1,,,,0,00084519,1,MAGS
1,2026-02-09 00:00:00,00084733,2414,1044.000,0.000,,603913233321,2026-02-09 00:00:00,01:53,S,15,S,,19,1,,,,0,00084520,1,MAGS
1,2026-02-09 00:00:00,00084734,2414,387.000,0.000,,05zj,2026-02-09 00:00:00,01:54,S,11,S,,fp1132,1,,,,0,00084521,1,MAGS
1,2026-02-09 00:00:00,00084735,2414,465.000,0.000,,t9lu,2026-02-09 00:00:00,01:55,S,11,S,,fp1131,1,,,,0,00084522,1,MAGS
1,2026-02-09 00:00:00,00084736,2414,404.280,0.000,,603914257115,2026-02-09 00:00:00,02:00,S,15,S,,34,1,,,,1,00084523,1,MAGS
1,2026-02-09 00:00:00,00084737,2414,248.000,0.000,,603914261988,2026-02-09 00:00:00,02:02,S,15,S,,ad34,1,,,,0,00084524,1,MAGS
1,2026-02-09 00:00:00,00084738,2414,323.000,0.000,,1hf7,2026-02-09 00:00:00,02:04,S,11,S,,fp7281,1,,,,0,00084525,1,MAGS
1,2026-02-09 00:00:00,00084739,2414,348.000,0.000,,d1ft,2026-02-09 00:00:00,02:05,S,11,S,,fp7282,1,,,,0,00084526,1,MAGS
1,2026-02-09 00:00:00,00084740,2414,537.000,0.000,,56dor,2026-02-09 00:00:00,02:07,S,11,S,,fp7283,1,,,,0,00084527,1,MAGS
1,2026-02-09 00:00:00,00084741,2414,1500.000,86.000,,,2026-02-09 00:00:00,02:14,S,00001,S,,28,1,,,,0,00084528,1,MAGS
1,2026-02-09 00:00:00,00084742,2414,517.000,0.000,,rn6s,2026-02-09 00:00:00,02:15,S,11,S,,fp1133,1,,,,0,00084529,1,MAGS
1,2026-02-09 00:00:00,00084743,2414,493.000,0.000,,knxg,2026-02-09 00:00:00,02:17,S,11,S,,fp 7284,1,,,,0,00084530,1,MAGS
1,2026-02-09 00:00:00,00084744,2414,314.000,0.000,,o4vo,2026-02-09 00:00:00,02:17,S,11,S,,fp 7285,1,,,,0,00084531,1,MAGS
1,2026-02-09 00:00:00,00084745,2414,422.000,0.000,,idfm,2026-02-09 00:00:00,02:27,S,11,S,,fp1134,1,,,,0,00084532,1,MAGS
1,2026-02-09 00:00:00,00084746,2414,398.000,0.000,,0900,2026-02-09 00:00:00,02:36,S,11,S,,fp1135,1,,,,0,00084533,1,MAGS
1,2026-02-09 00:00:00,00084747,2414,676.000,0.000,,bm2d,2026-02-09 00:00:00,02:38,S,11,S,,fp1136,1,,,,0,00084534,1,MAGS
1,2026-02-09 00:00:00,00084748,2414,547.000,0.000,,5imj,2026-02-09 00:00:00,02:39,S,11,S,,fp1137,1,,,,0,00084535,1,MAGS
1,2026-02-09 00:00:00,00084749,2414,323.000,0.000,,zk3b,2026-02-09 00:00:00,02:40,S,11,S,,fp7286,1,,,,0,00084536,1,MAGS
1,2026-02-09 00:00:00,00084750,2414,646.000,0.000,,zalx,2026-02-09 00:00:00,02:41,S,11,S,,fp1138,1,,,,0,00084537,1,MAGS
