STORE_NUM,TRANSDATE,INVOICE,CAS_CODE,AMT_TENDER,CHANGE,NAME,REF_NO,DATE,TIME,TAG,PAYCODE,TRN_CODE,REF_CODE,ORDERSLIP,REC_NO,CUSINFO1,CUSINFO2,CUSINFO3,TIN_TAG,TRANSNO,POS,BRANCH
1,2026-02-09 00:00:00,00933749,3172,488.000,0.000,,g8wq,2026-02-09 00:00:00,00:03,S,18,S,,fp7057,1,,,,0,00927978,1,OLA
1,2026-02-09 00:00:00,00933750,3172,361.000,0.000,,0phu,2026-02-09 00:00:00,00:05,S,18,S,,fp8508,1,,,,0,00927979,1,OLA
1,2026-02-09 00:00:00,00933751,3172,387.000,0.000,,1v6y,2026-02-09 00:00:00,00:06,S,18,S,,fp8509,1,,,,0,00927980,1,OLA
1,2026-02-09 00:00:00,00933752,3172,324.000,0.000,,vgvs,2026-02-09 00:00:00,00:09,S,18,S,,fp8510,1,,,,0,00927981,1,OLA
1,2026-02-09 00:00:00,00933753,3172,124.290,0.000,,603916590306,2026-02-09 00:00:00,00:27,S,20,S,,04,1,,,,1,00927982,1,OLA
1,2026-02-09 00:00:00,00933754,3172,387.000,0.000,,603916592694,2026-02-09 00:00:00,00:29,S,20,S,,add 04,1,,,,0,00927983,1,OLA
1,2026-02-09 00:00:00,00933755,3172,337.000,0.000,,603916612716,2026-02-09 00:00:00,00:41,S,20,S,,18,1,,,,0,00927984,1,OLA
1,2026-02-09 00:00:00,00933756,3172,784.000,0.000,,2302,2026-02-09 00:00:00,00:43,S,18,S,,fp8511,1,,,,0,00927985,1,OLA
1,2026-02-09 00:00:00,00933757,3172,1000.000,565.000,,,2026-02-09 00:00:00,00:50,S,00001,S,,03,1,,,,0,00927986,1,OLA
1,2026-02-09 00:00:00,00933758,3172,1000.000,524.000,,,2026-02-09 00:00:00,00:55,S,00001,S,,19,1,,,,0,00927987,1,OLA
1,2026-02-09 00:00:00,00933759,3172,88.570,0.000,,,2026-02-09 00:00:00,00:58,S,00001,S,,ac,1,,,,1,00927988,1,OLA
1,2026-02-09 00:00:00,00933760,3172,1000.000,663.000,,,2026-02-09 00:00:00,01:08,S,00001,S,,02,1,,,,0,00927989,1,OLA
1,2026-02-09 00:00:00,00933761,3172,495.000,0.000,,ff31a,2026-02-09 00:00:00,01:16,S,20,S,,06,1,0,,,1,00927990,1,OLA
1,2026-02-09 00:00:00,00933762,3172,361.000,0.000,,0vhj,2026-02-09 00:00:00,01:18,S,18,S,,fp8512,1,,,,0,00927991,1,OLA
1,2026-02-09 00:00:00,00933763,3172,513.000,0.000,,wix2,2026-02-09 00:00:00,01:22,S,18,S,,fp8513,1,,,,0,00927992,1,OLA
1,2026-02-09 00:00:00,00933764,3172,300.000,62.000,,,2026-02-09 00:00:00,01:23,S,00001,S,,10,1,,,,0,00927993,1,OLA
1,2026-02-09 00:00:00,00933765,3172,600.000,65.000,,,2026-02-09 00:00:00,01:31,S,00001,S,,13,1,,,,0,00927994,1,OLA
1,2026-02-09 00:00:00,00933766,3172,1000.000,426.000,,,2026-02-09 00:00:00,01:31,S,00001,S,,11,1,,,,0,00927995,1,OLA
1,2026-02-09 00:00:00,00933767,3172,302.000,0.000,,ocv0,2026-02-09 00:00:00,01:50,S,18,S,,fp8514,1,,,,0,00927996,1,OLA
1,2026-02-09 00:00:00,00933768,3172,298.000,0.000,,p5y1,2026-02-09 00:00:00,01:52,S,18,S,,fp8515,1,,,,0,00927997,1,OLA
1,2026-02-09 00:00:00,00933769,3172,250.000,12.000,,,2026-02-09 00:00:00,01:59,S,00001,S,,11,1,,,,0,00927998,1,OLA
1,2026-02-09 00:00:00,00933770,3172,300.000,62.000,,,2026-02-09 00:00:00,02:10,S,00001,S,,10,1,,,,0,00927999,1,OLA
1,2026-02-09 00:00:00,00933771,3172,536.000,0.000,,iz2v,2026-02-09 00:00:00,02:30,S,18,S,,fp8516,1,,,,0,00928000,1,OLA
1,2026-02-09 00:00:00,00933772,3172,814.000,0.000,,603918760401,2026-02-09 00:00:00,02:47,S,20,S,,06,1,,,,0,00928001,1,OLA
1,2026-02-09 00:00:00,00933773,3172,298.000,0.000,,00s6,2026-02-09 00:00:00,03:11,S,18,S,,fp8517,1,,,,0,00928002,1,OLA
1,2026-02-09 00:00:00,00933774,3172,238.000,0.000,,997f,2026-02-09 00:00:00,05:10,S,18,S,,fp7058,1,,,,0,00928003,1,OLA
1,2026-02-09 00:00:00,00933775,3172,150.000,1.000,,,2026-02-09 00:00:00,05:10,S,00001,S,,09,1,,,,0,00928004,1,OLA
1,2026-02-09 00:00:00,00933776,3172,719.000,0.000,,yk2u,2026-02-09 00:00:00,05:37,S,18,S,,fp8518,1,,,,0,00928005,1,OLA
1,2026-02-09 00:00:00,00933777,3172,1007.000,100.000,,,2026-02-09 00:00:00,05:38,S,00001,S,,20,1,,,,0,00928006,1,OLA
1,2026-02-09 00:00:00,00933778,3172,670.000,0.000,,boah,2026-02-09 00:00:00,05:43,S,18,S,,fp8519,1,,,,0,00928007,1,OLA
1,2026-02-09 00:00:00,00933779,65774,1000.000,802.000,,,2026-02-09 00:00:00,06:12,S,00001,S,,10,1,,,,0,00928008,1,OLA
1,2026-02-09 00:00:00,00933780,65774,500.000,148.000,,,2026-02-09 00:00:00,06:17,S,00001,S,,13,1,,,,0,00928009,1,OLA
1,2026-02-09 00:00:00,00933781,65774,1128.000,0.000,,i71,2026-02-09 00:00:00,06:32,S,18,S,,fp8520,1,,,,0,00928010,1,OLA
1,2026-02-09 00:00:00,00933782,65774,298.000,0.000,,0pnf,2026-02-09 00:00:00,06:39,S,18,S,,fp8521,1,,,,0,00928011,1,OLA
1,2026-02-09 00:00:00,00933783,65774,686.000,0.000,,vjji,2026-02-09 00:00:00,06:42,S,18,S,,fp8522,1,,,,0,00928012,1,OLA
1,2026-02-09 00:00:00,00933784,65774,2455.000,0.000,,,2026-02-09 00:00:00,06:51,S,00001,S,,14,1,,,,0,00928013,1,OLA
1,2026-02-09 00:00:00,00933785,65774,388.000,0.000,,zny5,2026-02-09 00:00:00,07:16,S,18,S,,fp8523,1,,,,0,00928014,1,OLA
1,2026-02-09 00:00:00,00933786,65774,302.000,0.000,,ke8t,2026-02-09 00:00:00,07:25,S,18,S,,fp8524,1,,,,0,00928015,1,OLA
1,2026-02-09 00:00:00,00933787,65774,492.000,0.000,,az6z,2026-02-09 00:00:00,08:07,S,18,S,,fp-8525,1,,,,0,00928016,1,OLA
1,2026-02-09 00:00:00,00933788,65774,129.000,0.000,,vi1g,2026-02-09 00:00:00,08:08,S,18,S,,fp-8526,1,,,,0,00928017,1,OLA
1,2026-02-09 00:00:00,00933789,65774,1059.000,0.000,,fq2v,2026-02-09 00:00:00,08:11,S,18,S,,fp-8527,1,,,,0,00928018,1,OLA
1,2026-02-09 00:00:00,00933790,65774,2000.000,39.000,,,2026-02-09 00:00:00,08:15,S,00001,S,,18,1,,,,0,00928019,1,OLA
1,2026-02-09 00:00:00,00933791,65774,586.000,0.000,,gu3h,2026-02-09 00:00:00,08:16,S,18,S,,fp8528,1,,,,0,00928020,1,OLA
1,2026-02-09 00:00:00,00933792,65774,407.000,0.000,,,2026-02-09 00:00:00,08:19,S,00001,S,,ADD18,1,,,,0,00928021,1,OLA
1,2026-02-09 00:00:00,00933793,65774,271.000,0.000,,DILQ,2026-02-09 00:00:00,08:25,S,18,S,,FP7059,1,,,,0,00928022,1,OLA
1,2026-02-09 00:00:00,00933794,65774,457.860,0.000,,96240,2026-02-09 00:00:00,08:30,S,20,S,,16,1,,,,1,00928023,1,OLA
1,2026-02-09 00:00:00,00933795,65774,322.000,0.000,,mb2x,2026-02-09 00:00:00,08:33,S,18,S,,fp8529,1,,,,0,00928024,1,OLA
1,2026-02-09 00:00:00,00933796,65774,149.000,0.000,ROSALYN FERNANDEZ,0604162,2026-02-09 00:00:00,08:38,S,1,S,,06,1,,,,0,00928025,1,OLA
1,2026-02-09 00:00:00,00933797,65774,701.000,0.000,,52WB,2026-02-09 00:00:00,08:39,S,18,S,,FP8530,1,,,,0,00928026,1,OLA
1,2026-02-09 00:00:00,00933798,65774,368.000,0.000,,VB2M,2026-02-09 00:00:00,08:41,S,18,S,,FP8531,1,,,,0,00928027,1,OLA
1,2026-02-09 00:00:00,00933799,65774,347.140,0.000,,,2026-02-09 00:00:00,08:55,S,00001,S,,18,1,,,,1,00928028,1,OLA
1,2026-02-09 00:00:00,00933800,65774,1060.000,0.000,,,2026-02-09 00:00:00,08:57,S,00001,S,,AD18,1,,,,0,00928029,1,OLA
1,2026-02-09 00:00:00,00933801,65774,298.000,0.000,,1108,2026-02-09 00:00:00,08:58,S,18,S,,FP8532,1,,,,0,00928030,1,OLA
1,2026-02-09 00:00:00,00933802,65774,199.000,0.000,,T3NG,2026-02-09 00:00:00,09:07,S,18,S,,FP8533,1,,,,0,00928031,1,OLA
1,2026-02-09 00:00:00,00933803,65774,1000.000,812.140,,,2026-02-09 00:00:00,09:11,S,00001,S,,06,1,,,,1,00928032,1,OLA
1,2026-02-09 00:00:00,00933804,65774,200.000,30.000,,,2026-02-09 00:00:00,09:12,S,00001,S,,14,1,,,,1,00928033,1,OLA
1,2026-02-09 00:00:00,00933805,65774,200.000,81.000,,,2026-02-09 00:00:00,09:13,S,00001,S,,10,1,,,,0,00928034,1,OLA
1,2026-02-09 00:00:00,00933806,65774,1170.000,0.000,,OC6Z,2026-02-09 00:00:00,09:14,S,18,S,,FP8534,1,,,,0,00928035,1,OLA
1,2026-02-09 00:00:00,00933807,65774,283.000,0.000,,XOUG,2026-02-09 00:00:00,09:17,S,18,S,,FP8535,1,,,,0,00928036,1,OLA
1,2026-02-09 00:00:00,00933808,65774,1000.000,406.000,,,2026-02-09 00:00:00,09:18,S,00001,S,,10,1,,,,0,00928037,1,OLA
1,2026-02-09 00:00:00,00933809,65774,200.000,91.000,,,2026-02-09 00:00:00,09:19,S,00001,S,,AD10,1,,,,0,00928038,1,OLA
1,2026-02-09 00:00:00,00933810,65774,985.000,0.000,,H136,2026-02-09 00:00:00,09:27,S,18,S,,FP8536,1,,,,0,00928039,1,OLA
1,2026-02-09 00:00:00,00933811,65774,356.000,0.000,,,2026-02-09 00:00:00,09:27,S,18,S,,AC ANJ,1,,,,0,00928040,1,OLA
1,2026-02-09 00:00:00,00933812,65774,149.000,0.000,,RYUL,2026-02-09 00:00:00,09:28,S,18,S,,FP8537,1,,,,0,00928041,1,OLA
1,2026-02-09 00:00:00,00933813,65774,327.000,0.000,,41472,2026-02-09 00:00:00,09:30,S,18,S,,19,1,,,,0,00928042,1,OLA
1,2026-02-09 00:00:00,00933814,65774,200.000,1.430,,,2026-02-09 00:00:00,09:45,S,00001,S,,19,1,,,,1,00928043,1,OLA
1,2026-02-09 00:00:00,00933815,65774,303.000,0.000,,AEYT,2026-02-09 00:00:00,09:46,S,18,S,,FP8539,1,,,,0,00928044,1,OLA
1,2026-02-09 00:00:00,00933816,65774,497.000,0.000,,2ICE,2026-02-09 00:00:00,09:48,S,18,S,,FP8540,1,,,,0,00928045,1,OLA
1,2026-02-09 00:00:00,00933817,65774,1000.000,881.000,,,2026-02-09 00:00:00,09:49,S,00001,S,,10,1,,,,0,00928046,1,OLA
1,2026-02-09 00:00:00,00933818,65774,1000.000,554.290,,,2026-02-09 00:00:00,09:54,S,00001,S,,39,1,,,,1,00928047,1,OLA
1,2026-02-09 00:00:00,00933819,65774,555.000,436.000,,,2026-02-09 00:00:00,09:55,S,00001,S,,AD39,1,,,,0,00928048,1,OLA
1,2026-02-09 00:00:00,00933820,65774,483.570,0.000,,,2026-02-09 00:00:00,09:59,S,00001,S,,06,1,,,,1,00928049,1,OLA
1,2026-02-09 00:00:00,00933821,65774,238.000,0.000,,,2026-02-09 00:00:00,10:00,S,00001,S,,AD06,1,,,,0,00928050,1,OLA
1,2026-02-09 00:00:00,00933822,65774,433.000,0.000,,L=LSC2,2026-02-09 00:00:00,10:01,S,18,S,,FP8541,1,,,,0,00928051,1,OLA
1,2026-02-09 00:00:00,00933823,65774,1000.000,334.000,,,2026-02-09 00:00:00,10:03,S,00001,S,,10,1,,,,0,00928052,1,OLA
1,2026-02-09 00:00:00,00933824,65774,388.000,0.000,,NJVV,2026-02-09 00:00:00,10:04,S,18,S,,FP8542,1,,,,0,00928053,1,OLA
1,2026-02-09 00:00:00,00933825,65774,2499.000,0.000,,3JD8,2026-02-09 00:00:00,10:13,S,18,S,,FP8543,1,,,,0,00928054,1,OLA
1,2026-02-09 00:00:00,00933826,65774,1124.000,0.000,,I6U3,2026-02-09 00:00:00,10:15,S,18,S,,FP-8538,1,,,,0,00928055,1,OLA
1,2026-02-09 00:00:00,00933827,65774,795.000,0.000,,Y07N,2026-02-09 00:00:00,10:20,S,18,S,,FP-8544,1,,,,0,00928056,1,OLA
1,2026-02-09 00:00:00,00933828,65774,862.000,0.000,,B0RW,2026-02-09 00:00:00,10:29,S,18,S,,FP8545,1,,,,0,00928057,1,OLA
1,2026-02-09 00:00:00,00933829,65774,388.000,0.000,,92OQ,2026-02-09 00:00:00,10:33,S,18,S,,FP8546,1,,,,0,00928058,1,OLA
1,2026-02-09 00:00:00,00933830,65774,964.000,0.000,,ODUV,2026-02-09 00:00:00,10:35,S,18,S,,FP-8547,1,,,,0,00928059,1,OLA
1,2026-02-09 00:00:00,00933831,65774,805.000,0.000,,1G7T,2026-02-09 00:00:00,10:38,S,18,S,,FP8549,1,,,,0,00928060,1,OLA
1,2026-02-09 00:00:00,00933832,65774,413.000,0.000,,M3MZ,2026-02-09 00:00:00,10:39,S,18,S,,FP-8548,1,,,,0,00928061,1,OLA
1,2026-02-09 00:00:00,00933833,65774,238.000,0.000,,54GG,2026-02-09 00:00:00,10:40,S,18,S,,FP8550,1,,,,0,00928062,1,OLA
1,2026-02-09 00:00:00,00933834,65774,500.000,415.000,,,2026-02-09 00:00:00,10:44,S,00001,S,,10,1,,,,1,00928063,1,OLA
1,2026-02-09 00:00:00,00933835,65774,627.000,0.000,,8SJK,2026-02-09 00:00:00,10:45,S,18,S,,FP8551,1,,,,0,00928064,1,OLA
1,2026-02-09 00:00:00,00933836,65774,343.000,0.000,,AGRA,2026-02-09 00:00:00,10:46,S,18,S,,FP-8552,1,,,,0,00928065,1,OLA
1,2026-02-09 00:00:00,00933837,65774,396.000,0.000,,4AH3,2026-02-09 00:00:00,10:47,S,18,S,,FP-8553,1,,,,0,00928066,1,OLA
1,2026-02-09 00:00:00,00933838,65774,446.000,0.000,,U9X3,2026-02-09 00:00:00,10:49,S,18,S,,FP-8554,1,,,,0,00928067,1,OLA
1,2026-02-09 00:00:00,00933839,65774,244.290,0.000,,6119,2026-02-09 00:00:00,10:52,S,20,S,,14,1,,,,1,00928068,1,OLA
1,2026-02-09 00:00:00,00933840,65774,263.000,0.000,,8998,2026-02-09 00:00:00,10:53,S,20,S,,ADD14,1,,,,0,00928069,1,OLA
1,2026-02-09 00:00:00,00933841,65774,268.000,0.000,,ACMH,2026-02-09 00:00:00,10:54,S,18,S,,FP-8556,1,,,,0,00928070,1,OLA
1,2026-02-09 00:00:00,00933842,65774,1214.000,0.000,,TYJR,2026-02-09 00:00:00,10:55,S,18,S,,FP8557,1,,,,0,00928071,1,OLA
1,2026-02-09 00:00:00,00933843,65774,418.000,0.000,,TCRM,2026-02-09 00:00:00,10:56,S,18,S,,FP8558,1,,,,0,00928072,1,OLA
1,2026-02-09 00:00:00,00933844,65774,681.000,0.000,,3OP3,2026-02-09 00:00:00,10:58,S,18,S,,FP-8559,1,,,,0,00928073,1,OLA
1,2026-02-09 00:00:00,00933845,65774,398.000,0.000,,CCEU,2026-02-09 00:00:00,10:58,S,18,S,,FP-8560,1,,,,0,00928074,1,OLA
