STORE_NUM,TRANSDATE,INVOICE,CAS_CODE,AMT_TENDER,CHANGE,NAME,REF_NO,DATE,TIME,TAG,PAYCODE,TRN_CODE,REF_CODE,ORDERSLIP,REC_NO,CUSINFO1,CUSINFO2,CUSINFO3,TIN_TAG,TRANSNO,POS,BRANCH
1,2026-02-09 00:00:00,00644760,20245,500.000,230.000,,,2026-02-09 00:00:00,10:08,S,00001,S,,01,1,,,,1,00640395,1,PACML
1,2026-02-09 00:00:00,00644765,20245,1115.000,0.000,,,2026-02-09 00:00:00,10:58,S,00001,S,,repunch,1,,,,0,00640398,1,PACML
1,2026-02-09 00:00:00,00644766,20245,0.010,0.000,,00644765,2026-02-09 00:00:00,10:59,S,14,S,,ok na,1,,,,0,00640399,1,PACML
1,2026-02-09 00:00:00,00644767,20245,730.000,6.000,,,2026-02-09 00:00:00,11:07,S,00001,S,,02,1,,,,0,00640400,1,PACML
1,2026-02-09 00:00:00,00644768,20245,577.000,0.000,,cg0r,2026-02-09 00:00:00,11:14,S,22,S,,fp9209,1,,,,0,00640401,1,PACML
1,2026-02-09 00:00:00,00644769,20245,1142.000,0.000,,09n1,2026-02-09 00:00:00,11:15,S,22,S,,fp9210,1,,,,0,00640402,1,PACML
1,2026-02-09 00:00:00,00644770,20245,500.000,42.860,,,2026-02-09 00:00:00,11:17,S,00001,S,,04,1,,,,1,00640403,1,PACML
1,2026-02-09 00:00:00,00644771,20245,500.000,78.000,,,2026-02-09 00:00:00,11:18,S,00001,S,,ad04,1,,,,0,00640404,1,PACML
1,2026-02-09 00:00:00,00644772,20245,0.010,0.000,,00640403,2026-02-09 00:00:00,11:19,S,14,S,,04,1,,,,0,00640405,1,PACML
1,2026-02-09 00:00:00,00644773,20245,337.000,0.000,,fo97,2026-02-09 00:00:00,11:23,S,22,S,,fp9211,1,,,,0,00640406,1,PACML
1,2026-02-09 00:00:00,00644774,20245,755.000,0.000,,et78,2026-02-09 00:00:00,11:26,S,22,S,,fp9212,1,,,,0,00640407,1,PACML
