STORE_NUM,TRANSDATE,INVOICE,CAS_CODE,ITE_CODE,QUANTITY,UNT_PRIC,AMOUNT,DISCOUNT,SCHARGE,DT,DEP_CODE,DATE,TIME,CUS_CODE,TRN_CODE,ORNUM,TAG,DISC_CODE,SRNO,SRNAME,TYPE,BACKJOB,DELIVERY,PHONE,RIDER,FREE,INV_FLAG,REC_NO,LPAY_DISC,GC_EXCESS,VAT_FLAG,VATDIV,BDL_CODE,VAT_AMNT,VAT_DISC,VAT_PRIC,TRANSNO,POS,BRANCH
1,2026-02-09 00:00:00,00093343,1711,CLM3,1.000,333.000,333.000,0.000,0.000,,2,2026-02-09 00:00:00,00:10,,S,,S,,,,D,1,0,,,0,1,1,0,0.000,1,9.333,CLM3,297.321,0.000,297.321,00092776,1,SIPOCOT
1,2026-02-09 00:00:00,00093343,1711,XTR61,1.000,98.000,98.000,0.000,0.000,,8,2026-02-09 00:00:00,00:10,,S,,S,,,,D,1,0,,,0,1,2,0,0.000,1,9.333,XTR61,87.500,0.000,87.500,00092776,1,SIPOCOT
1,2026-02-09 00:00:00,00093343,1711,BRK11,1.000,119.000,119.000,0.000,0.000,,3,2026-02-09 00:00:00,00:10,,S,,S,,,,D,1,0,,,0,1,3,0,0.000,1,9.330,BRK11,106.250,0.000,106.250,00092776,1,SIPOCOT
1,2026-02-09 00:00:00,00093343,1711,REP1,2.000,0.000,0.000,0.000,0.000,,16,2026-02-09 00:00:00,00:10,,S,,S,,,,D,1,0,,,0,1,4,0,0.000,1,9.333,REP1,0.000,0.000,0.000,00092776,1,SIPOCOT
1,2026-02-09 00:00:00,00093344,1711,BEV6,1.000,109.000,109.000,0.000,0.000,,7,2026-02-09 00:00:00,00:19,,S,,S,,,,D,1,0,,,0,1,1,0,0.000,1,9.330,BEV6,97.321,0.000,97.321,00092777,1,SIPOCOT
1,2026-02-09 00:00:00,00093344,1711,BEF2,1.000,332.000,332.000,0.000,0.000,,18,2026-02-09 00:00:00,00:19,,S,,S,,,,D,1,0,,,0,1,2,0,0.000,1,9.330,BEF2,296.429,0.000,296.429,00092777,1,SIPOCOT
1,2026-02-09 00:00:00,00093344,1711,BRK11,1.000,119.000,119.000,0.000,0.000,,3,2026-02-09 00:00:00,00:19,,S,,S,,,,D,1,0,,,0,1,3,0,0.000,1,9.330,BRK11,106.250,0.000,106.250,00092777,1,SIPOCOT
1,2026-02-09 00:00:00,00093344,1711,SID3,1.000,59.000,59.000,0.000,0.000,,10,2026-02-09 00:00:00,00:19,,S,,S,,,,D,1,0,,,0,1,4,0,0.000,1,9.333,SID3,52.679,0.000,52.679,00092777,1,SIPOCOT
1,2026-02-09 00:00:00,00093344,1711,REP1,3.000,0.000,0.000,0.000,0.000,,16,2026-02-09 00:00:00,00:19,,S,,S,,,,D,1,0,,,0,1,5,0,0.000,1,9.333,REP1,0.000,0.000,0.000,00092777,1,SIPOCOT
1,2026-02-09 00:00:00,00093345,1711,CHM8,1.000,278.000,278.000,0.000,0.000,,1,2026-02-09 00:00:00,01:01,,S,,S,,,,D,1,0,,,0,1,1,0,0.000,1,9.330,CHM8,248.214,0.000,248.214,00092778,1,SIPOCOT
1,2026-02-09 00:00:00,00093345,1711,REP1,1.000,0.000,0.000,0.000,0.000,,16,2026-02-09 00:00:00,01:01,,S,,S,,,,D,1,0,,,0,1,3,0,0.000,1,9.333,REP1,0.000,0.000,0.000,00092778,1,SIPOCOT
1,2026-02-09 00:00:00,00093346,1711,BEF5,1.000,305.360,305.360,-61.070,0.000,SP,18,2026-02-09 00:00:00,01:03,,S,,S,14,7404,mr gooh,D,1,0,,,0,1,1,0,0.000,0,9.330,BEF5,305.360,0.000,305.360,00092779,1,SIPOCOT
1,2026-02-09 00:00:00,00093346,1711,SUP4,1.000,79.460,79.460,-15.890,0.000,SP,11,2026-02-09 00:00:00,01:03,,S,,S,14,7404,mr gooh,D,1,0,,,0,1,2,0,0.000,0,9.333,SUP4,79.460,0.000,79.460,00092779,1,SIPOCOT
1,2026-02-09 00:00:00,00093346,1711,REP1,1.000,0.000,0.000,0.000,0.000,SP,16,2026-02-09 00:00:00,01:03,,S,,S,14,7404,mr gooh,D,1,0,,,0,1,3,0,0.000,0,9.333,REP1,0.000,0.000,0.000,00092779,1,SIPOCOT
1,2026-02-09 00:00:00,00093346,1711,SDis- 20.00%,1.000,20.000,-76.960,0.000,0.000,SP,,2026-02-09 00:00:00,01:03,,S,,S,14,7404,mr gooh,D,0,0,,,0,0,4,1,0.000,,0.000,,-76.960,0.000,0.000,00092779,1,SIPOCOT
1,2026-02-09 00:00:00,00093347,1711,BEV7,1.000,99.000,99.000,0.000,0.000,,7,2026-02-09 00:00:00,01:30,,S,,S,,,,D,1,0,,,0,1,1,0,0.000,1,9.330,BEV7,88.393,0.000,88.393,00092780,1,SIPOCOT
1,2026-02-09 00:00:00,00093348,1711,COF49,1.000,145.000,145.000,0.000,0.000,,27,2026-02-09 00:00:00,02:45,,S,,S,,,,T,1,0,,,0,1,1,0,0.000,1,9.330,COF49,129.464,0.000,129.464,00092781,1,SIPOCOT
1,2026-02-09 00:00:00,00093348,1711,REP1,1.000,0.000,0.000,0.000,0.000,,16,2026-02-09 00:00:00,02:45,,S,,S,,,,T,1,0,,,0,1,2,0,0.000,1,9.333,REP1,0.000,0.000,0.000,00092781,1,SIPOCOT
1,2026-02-09 00:00:00,00093349,1711,GB15,1.000,327.000,327.000,0.000,0.000,,25,2026-02-09 00:00:00,03:17,,S,,S,,,,D,1,0,,,0,1,1,0,0.000,1,9.333,GB15,291.964,0.000,291.964,00092782,1,SIPOCOT
