STORE_NUM,TRANSDATE,INVOICE,CAS_CODE,AMT_TENDER,CHANGE,NAME,REF_NO,DATE,TIME,TAG,PAYCODE,TRN_CODE,REF_CODE,ORDERSLIP,REC_NO,CUSINFO1,CUSINFO2,CUSINFO3,TIN_TAG,TRANSNO,POS,BRANCH
1,2026-02-09 00:00:00,00490355,1106,656.000,0.000,,604007546305,2026-02-09 00:00:00,15:17,S,27,S,,91,1,,,,0,00487880,1,SMLIP
1,2026-02-09 00:00:00,00490356,1106,259.000,0.000,,p57u,2026-02-09 00:00:00,15:26,S,14,S,,fp6640,1,,,,0,00487881,1,SMLIP
1,2026-02-09 00:00:00,00490357,1106,500.000,232.000,,,2026-02-09 00:00:00,15:28,S,00001,S,,92,1,,,,0,00487882,1,SMLIP
1,2026-02-09 00:00:00,00490358,1106,219.000,0.000,,04h4,2026-02-09 00:00:00,15:29,S,14,S,,fp6641,1,,,,0,00487883,1,SMLIP
1,2026-02-09 00:00:00,00490359,1106,250.000,32.000,,,2026-02-09 00:00:00,15:30,S,00001,S,,93,1,,,,0,00487884,1,SMLIP
1,2026-02-09 00:00:00,00490320,1106,258.000,0.000,,6en5,2026-02-09 00:00:00,10:35,S,14,S,,fp6631,1,,,,0,00487845,1,SMLIP
1,2026-02-09 00:00:00,00490321,1106,383.000,0.000,,7g1r,2026-02-09 00:00:00,10:53,S,14,S,,fp6632,1,,,,0,00487846,1,SMLIP
1,2026-02-09 00:00:00,00490322,1106,219.000,0.000,,ploy,2026-02-09 00:00:00,10:56,S,14,S,,fp6633,1,,,,0,00487847,1,SMLIP
1,2026-02-09 00:00:00,00490323,1106,696.000,0.000,,xzhe,2026-02-09 00:00:00,11:16,S,14,S,,fp6634,1,,,,0,00487848,1,SMLIP
1,2026-02-09 00:00:00,00490324,1106,1000.000,343.000,,,2026-02-09 00:00:00,11:28,S,00001,S,,90,1,,,,0,00487849,1,SMLIP
1,2026-02-09 00:00:00,00490325,1106,493.000,23.710,,,2026-02-09 00:00:00,11:29,S,00001,S,,+90,1,,,,1,00487850,1,SMLIP
1,2026-02-09 00:00:00,00490326,1106,1000.000,227.140,,,2026-02-09 00:00:00,11:36,S,00001,S,,91,1,,,,1,00487851,1,SMLIP
1,2026-02-09 00:00:00,00490327,1106,1227.140,354.140,,,2026-02-09 00:00:00,11:37,S,00001,S,,+91,1,,,,0,00487852,1,SMLIP
1,2026-02-09 00:00:00,00490328,1106,1000.000,508.000,,,2026-02-09 00:00:00,11:38,S,00001,S,,92,1,,,,0,00487853,1,SMLIP
1,2026-02-09 00:00:00,00490329,1106,1174.000,0.000,,b5m3,2026-02-09 00:00:00,11:44,S,14,S,,advc35,1,,,,0,00487854,1,SMLIP
1,2026-02-09 00:00:00,00490330,1106,1000.000,426.430,,,2026-02-09 00:00:00,11:50,S,00001,S,,93,1,,,,1,00487855,1,SMLIP
1,2026-02-09 00:00:00,00490331,1106,954.000,0.000,,tn3j,2026-02-09 00:00:00,11:54,S,14,S,,fp6636,1,,,,0,00487856,1,SMLIP
1,2026-02-09 00:00:00,00490332,1106,448.000,0.000,,60400352882,2026-02-09 00:00:00,11:58,S,27,S,,95,1,,,,0,00487857,1,SMLIP
1,2026-02-09 00:00:00,00490333,1106,1326.430,0.000,,604004526160,2026-02-09 00:00:00,12:01,S,27,S,,+95,1,,,,1,00487858,1,SMLIP
1,2026-02-09 00:00:00,00490334,1106,452.000,0.000,,sige,2026-02-09 00:00:00,12:04,S,14,S,,advc37,1,,,,0,00487859,1,SMLIP
1,2026-02-09 00:00:00,00490335,1106,1000.000,392.000,,,2026-02-09 00:00:00,12:14,S,00001,S,,96,1,,,,0,00487860,1,SMLIP
1,2026-02-09 00:00:00,00490336,1106,300.000,2.000,,,2026-02-09 00:00:00,12:24,S,00001,S,,30,1,,,,0,00487861,1,SMLIP
1,2026-02-09 00:00:00,00490337,1106,462.000,0.000,,604004528512,2026-02-09 00:00:00,12:26,S,27,S,,97,1,,,,0,00487862,1,SMLIP
1,2026-02-09 00:00:00,00490338,1106,1000.000,732.860,,,2026-02-09 00:00:00,12:28,S,00001,S,,98,1,,,,1,00487863,1,SMLIP
1,2026-02-09 00:00:00,00490339,1106,1500.000,228.000,,,2026-02-09 00:00:00,12:33,S,00001,S,,99,1,,,,0,00487864,1,SMLIP
1,2026-02-09 00:00:00,00490340,1106,1000.000,354.000,,,2026-02-09 00:00:00,12:35,S,00001,S,,90,1,,,,0,00487865,1,SMLIP
1,2026-02-09 00:00:00,00490341,1106,454.000,74.000,,,2026-02-09 00:00:00,12:36,S,00001,S,,+90,1,,,,1,00487866,1,SMLIP
