STORE_NUM,TRANSDATE,INVOICE,CAS_CODE,AMT_TENDER,CHANGE,NAME,REF_NO,DATE,TIME,TAG,PAYCODE,TRN_CODE,REF_CODE,ORDERSLIP,REC_NO,CUSINFO1,CUSINFO2,CUSINFO3,TIN_TAG,TRANSNO,POS,BRANCH
1,2026-02-09 00:00:00,00144241,12806,500.000,111.440,,,2026-02-09 00:00:00,10:07,S,00001,S,,79,1,,,,1,00143593,1,SMNAG
1,2026-02-09 00:00:00,00144242,12806,611.000,437.000,,,2026-02-09 00:00:00,10:09,S,00001,S,,AD79,1,,,,0,00143594,1,SMNAG
1,2026-02-09 00:00:00,00144243,12806,0.010,0.000,,143594,2026-02-09 00:00:00,10:11,S,18,S,,AD79,1,,,,0,00143595,1,SMNAG
1,2026-02-09 00:00:00,00144244,12806,500.000,111.440,,,2026-02-09 00:00:00,10:23,R,00001,R,00100143593,79,1,,,,1,,1,SMNAG
1,2026-02-09 00:00:00,00144245,12806,488.560,28.570,,,2026-02-09 00:00:00,10:25,S,00001,S,,KPLT79,1,,,,1,00143596,1,SMNAG
1,2026-02-09 00:00:00,00144246,12806,2400.000,8.000,,,2026-02-09 00:00:00,10:30,S,00001,S,,12PM(35),1,,,,0,00143597,1,SMNAG
1,2026-02-09 00:00:00,00144247,12806,1000.000,780.000,,,2026-02-09 00:00:00,10:35,S,00001,S,,45,1,,,,1,00143598,1,SMNAG
1,2026-02-09 00:00:00,00144248,12806,0.000,0.000,,,2026-02-09 00:00:00,10:35,S,00001,S,,,1,,,,0,00143599,1,SMNAG
1,2026-02-09 00:00:00,00144249,12806,500.000,301.430,,,2026-02-09 00:00:00,10:39,S,00001,S,,27,1,,,,1,00143600,1,SMNAG
1,2026-02-09 00:00:00,00144250,12806,301.000,23.000,,,2026-02-09 00:00:00,10:39,S,00001,S,,AD27,1,,,,0,00143601,1,SMNAG
1,2026-02-09 00:00:00,00144251,12806,1500.000,206.000,,,2026-02-09 00:00:00,10:50,S,00001,S,,42,1,,,,0,00143602,1,SMNAG
1,2026-02-09 00:00:00,00144252,12806,0.000,0.000,,,2026-02-09 00:00:00,11:03,S,00001,S,,42,1,,,,0,00143603,1,SMNAG
1,2026-02-09 00:00:00,00144253,12806,883.570,0.000,,604003070084,2026-02-09 00:00:00,11:10,S,15,S,,42,1,,,,1,00143604,1,SMNAG
1,2026-02-09 00:00:00,00144254,12806,1000.000,816.430,,,2026-02-09 00:00:00,11:11,S,00001,S,,54,1,,,,1,00143605,1,SMNAG
1,2026-02-09 00:00:00,00144255,12806,467.000,0.000,,604003091363,2026-02-09 00:00:00,11:14,S,15,S,,50,1,,,,0,00143606,1,SMNAG
1,2026-02-09 00:00:00,00144256,12806,1000.000,760.000,,,2026-02-09 00:00:00,11:17,S,00001,S,,60,1,,,,1,00143607,1,SMNAG
1,2026-02-09 00:00:00,00144257,12806,760.000,611.000,,,2026-02-09 00:00:00,11:17,S,00001,S,,AD60,1,,,,0,00143608,1,SMNAG
1,2026-02-09 00:00:00,00144258,12806,1016.000,200.280,,,2026-02-09 00:00:00,11:20,S,00001,S,,44,1,,,,1,00143609,1,SMNAG
1,2026-02-09 00:00:00,00144259,12806,1005.000,700.000,,,2026-02-09 00:00:00,11:23,S,00001,S,,78,1,,,,1,00143610,1,SMNAG
1,2026-02-09 00:00:00,00144260,12806,1000.000,452.850,,,2026-02-09 00:00:00,11:26,S,00001,S,,81,1,,,,1,00143611,1,SMNAG
